10023.xml	p495	p2819	1525	t1,t5	<s n="99">Grütz mir hernn schultheis <persName ref="p6336" sent="to">Ruͤplin</persName>, <persName ref="p6338" sent="to">Sigmunden</persName>, <persName ref="p5906" sent="to">Mörickovernn</persName>, den praedicanten und ander bruͤder in Christo, und «die gnad gottes sy mitt dir».</s>
1003.xml	p8130	p495	1550	t10	<s n="39">Es sind die spillüt grüst gsin, und ein unversächner grosser dantz worden, derhalben also, das sich mencklicher nitt gnuͦg hatt können verwundren, ist diser schwär handell mitt eim sölichen lichtferigen und lächrigen end beschlossen.</s>
10040.xml	p495	p2824	1526	t5,t6	<s n="21">Aber darab lassend üch nit grusen, «denn also habend sy verfolget die propheten, die vor üch gewesen sind».</s>
10040.xml	p495	p2824	1526	t5,t6	<s n="54">Wer ist dann, dem da yenen möchte grusen, die wyl häll gesprochen ist: «Ich bin das liecht der wellt; wer nach mir gadt, der wirt nit irren in einiger vinsternus»?</s>
10040.xml	p495	p2824	1526	t5,t6	<s n="56">Wie köndte dann yemands unnder den christen grusen?</s>
10057.xml	p495	p2001	1528	t5,t6	<s n="41">Iren gruͤtz ist mir träffenlich angnäm, embüten inen ouch hiemitt minen willigen dienst, minen früntlichen gruͤtz und was ich inen liebs, eer und guͦts vermöchte.</s>
10057.xml	p495	p2001	1528	t5,t6	<s n="42">Also ist ouch min pitt, ir wellind mir frow <persName ref="p5785" sent="to">Catherinen</persName>, üwere schwester früntlichen gruͤtzen etc.</s>
10066.xml	p2835	p495	1531	t1	<s n="7">Gruͤtzenn mir her schulthes <persName ref="p2004" sent="to">Mutschly</persName>, üwer her fater, wer üch lieb seyg und min her apt und pryger zuͦ Kapell, all lieb bruͤdernn in got, amen etc.</s>
10088.xml	p8071	p495	1532	t5,t11	<s n="13">Gruͤssend mir den onbekanten schulthais von Bremgarten und ander, so ir fertruwend.</s>
10095.xml	p8440	p495	1532	t2	<s n="7">Grüß mir von hertzen din hußfrow, myner triebßal ein trüwe mittlyderin.</s>
10121.xml	p8071	p495	1532	t5,t11	<s n="22">Grüst üch och mir üwer frowen, kind, den vatter, <persName ref="p1753" sent="to">Leon</persName> und andre etc.</s>
10121.xml	p8071	p495	1532	t5,t11	<s n="25">Grüsend mir meister <persName ref="p5935" sent="to">Kaspar</persName>, den trüwen.</s>
10129.xml	p261	p495	1532	t2,t3	<s n="8">Gruͤtzund unß alle, so unß gruͤtzt hand, insunders unseren getruwen <persName ref="p1753" sent="to">Leonem</persName>, mit begird, wellend altzyt mit uffsähen unser sachen, alß uch, unseren vettern, gewonlich, nach uwer truw gelegenheyt, alle zyt zieren etc.</s>
10132.xml	p8460	p495	1532	t2,t5	<s n="15">Es lat euch gruͤsen herr <persName ref="p6232" sent="from">Jacob Riner</persName>, etwan ze Tail predicant, by uns yetz wonhafft.</s>
10136.xml	p66	p495	1532	t5,t9	<s n="6">Mein husfraw, die nun zwentzig wuchen ein bedtrys gewesenn, laßt euch und mein liebe schwöster gar früntlichen gruͤssen, mit hertzlichem begeren, ir wöllent gott den herren für sy und unns alle pitten, auch unns alzeit lassen bevolhen sein.</s>
10178.xml	p8071	p495	1532	t2,t10	<s n="19">Grützend mir üwer lieb husfrowen, fatter, muter, gsind.</s>
10187.xml	p3873	p495	1532	t2	<s n="15">Gruͤtzend mir unsere bruͤder.</s>
10188.xml	p8129	p495	1532	t5,t11	<s n="12">Grüssen mir den <persName ref="p1753" sent="to">Leo</persName>, den <persName ref="p8127" sent="to">Pellican</persName> und andre bruͤder, so den herren von hertzen lieben.</s>
